group,cell_id,sheath_id,sheath_length,somas,bites
sib_dmso,11,9,55.555,0,0
sib_dmso,11,10,45.409,0,0
sib_dmso,12,1,48.817,0,0
sib_dmso,12,2,37.345,0,0
sib_dmso,12,3,19.457,0,0
sib_dmso,12,4,31.393,0,0
sib_dmso,12,5,17.353,0,0
sib_dmso,12,6,16.808,0,0
sib_dmso,12,7,44.549,0,0
sib_dmso,12,8,18.855,0,0
sib_dmso,12,9,19.544,0,0
sib_dmso,12,10,60.557,0,0
sib_dmso,12,11,39.755,0,0
sib_dmso,12,12,43.803,0,0
sib_dmso,12,13,33.124,0,0
sib_dmso,12,14,49.309,0,0
sib_mtz,1,1,45.713,0,1
sib_mtz,1,2,12.749,0,1
sib_mtz,1,3,33.012,0,1
sib_mtz,1,4,26.05,0,1
sib_mtz,1,5,27.231,0,1
sib_mtz,1,6,17.894,0,1
sib_mtz,1,7,27.11,0,1
sib_mtz,1,8,28.939,0,1
sib_mtz,1,9,38.198,0,1
sib_mtz,1,10,27.482,0,1
sib_mtz,1,11,24.552,0,1
sib_mtz,1,12,43.949,0,1
sib_mtz,1,13,35.092,0,1
sib_mtz,1,14,39.825,0,1
sib_mtz,2,1,22.098,0,0
sib_mtz,2,2,12.289,0,0
sib_mtz,2,3,4.407,0,0
sib_mtz,2,4,73.441,0,0
sib_mtz,2,5,27.447,0,0
sib_mtz,2,6,25.604,0,0
sib_mtz,2,7,26.862,0,0
sib_mtz,2,8,10.369,0,0
sib_mtz,3,1,32.386,0,0
sib_mtz,3,2,38.43,0,0
sib_mtz,3,3,34.186,0,0
sib_mtz,3,4,32.756,0,0
sib_mtz,3,5,9.249,0,0
sib_mtz,3,6,36.408,0,0
sib_mtz,3,7,17.477,0,0
sib_mtz,3,8,22.177,0,0
sib_mtz,3,9,38.337,0,0
sib_mtz,3,10,16.432,0,0
sib_mtz,3,11,32.018,0,0
sib_mtz,4,1,30.221,0,0
sib_mtz,4,2,31.582,0,0
sib_mtz,4,3,28.24,0,0
sib_mtz,4,4,41.673,0,0
sib_mtz,4,5,62.929,0,0
sib_mtz,4,6,27.313,0,0
sib_mtz,4,7,28.864,0,0
sib_mtz,4,8,26.264,0,0
sib_mtz,5,1,23.748,0,0
sib_mtz,5,2,43.853,0,0
sib_mtz,5,3,40.167,0,0
sib_mtz,5,4,13.234,0,0
sib_mtz,5,5,15.547,0,0
sib_mtz,5,6,36.035,0,0
sib_mtz,5,7,37.422,0,0
sib_mtz,5,8,50.787,0,0
sib_mtz,5,9,10.436,0,0
sib_mtz,5,10,82.684,0,0
sib_mtz,5,11,27.769,0,0
sib_mtz,6,1,53.06,0,2
sib_mtz,6,2,41.72,0,2
sib_mtz,6,3,50.49,0,2
sib_mtz,6,4,16.143,0,2
sib_mtz,6,5,31.97,0,2
sib_mtz,6,6,35.373,0,2
sib_mtz,6,7,32.546,0,2
sib_mtz,6,8,21.253,0,2
sib_mtz,6,9,9.309,0,2
sib_mtz,6,10,48.07,0,2
sib_mtz,6,11,20.041,0,2
sib_mtz,7,1,34.699,0,3
sib_mtz,7,2,22.457,0,3
sib_mtz,7,3,26.872,0,3
sib_mtz,7,4,22.82,0,3
sib_mtz,7,5,15.594,0,3
sib_mtz,7,6,18.685,0,3
sib_mtz,7,7,24.005,0,3
sib_mtz,7,8,24.089,0,3
sib_mtz,7,9,19.253,0,3
sib_mtz,7,10,53.67,0,3
sib_mtz,7,11,19.907,0,3
sib_mtz,7,12,22.384,0,3
sib_mtz,7,13,16.058,0,3
sib_mtz,8,1,52.98,0,0
sib_mtz,8,2,40.026,0,0
sib_mtz,8,3,22.833,0,0
sib_mtz,8,4,32.634,0,0
