dff,fluor
0.057959285,GCaMP6s-CAAX
0.0753525,GCaMP6s-CAAX
0.06310936,GCaMP6s-CAAX
0.10794505,GCaMP6s-CAAX
0.06453885,GCaMP6s-CAAX
0.057606872,GCaMP6s-CAAX
0.08601235,GCaMP6s-CAAX
0.069047034,GCaMP6s-CAAX
0.05908719,GCaMP6s-CAAX
0.071310245,GCaMP6s-CAAX
0.06817904,GCaMP6s-CAAX
0.07583264,GCaMP6s-CAAX
0.07225815,GCaMP6s-CAAX
0.08683966,GCaMP6s-CAAX
0.056836717,GCaMP6s-CAAX
0.06323776,GCaMP6s-CAAX
0.1039795,GCaMP6s-CAAX
0.12478725,GCaMP6s-CAAX
0.07495534,GCaMP6s-CAAX
0.07025955,GCaMP6s-CAAX
0.07121223,GCaMP6s-CAAX
0.07362604,GCaMP6s-CAAX
0.11037459,GCaMP6s-CAAX
0.079311274,GCaMP6s-CAAX
0.072061844,GCaMP6s-CAAX
0.056835186,GCaMP6s-CAAX
0.06828042,GCaMP6s-CAAX
0.10806786,GCaMP6s-CAAX
0.08493376,GCaMP6s-CAAX
0.061539926,GCaMP6s-CAAX
0.084990844,GCaMP6s-CAAX
0.14892808,GCaMP6s-CAAX
0.08282688,GCaMP6s-CAAX
0.075374074,GCaMP6s-CAAX
0.105866045,GCaMP6s-CAAX
0.0922531,GCaMP6s-CAAX
0.0833725,GCaMP6s-CAAX
0.08251747,GCaMP6s-CAAX
0.0737965,GCaMP6s-CAAX
0.079299316,GCaMP6s-CAAX
0.09953173,GCaMP6s-CAAX
0.08538409,GCaMP6s-CAAX
0.07532389,GCaMP6s-CAAX
0.08351691,GCaMP6s-CAAX
0.08571823,GCaMP6s-CAAX
0.08813037,GCaMP6s-CAAX
0.09385908,GCaMP6s-CAAX
0.07362611,GCaMP6s-CAAX
0.06793546,GCaMP6s-CAAX
0.20707841,GCaMP6s-CAAX
0.056480587,GCaMP6s-CAAX
0.06630613,GCaMP6s-CAAX
0.064979926,GCaMP6s-CAAX
0.062297136,GCaMP6s-CAAX
0.08085715,GCaMP6s-CAAX
0.059042454,GCaMP6s-CAAX
0.07546673,GCaMP6s-CAAX
0.057342645,GCaMP6s-CAAX
0.05192291,GCaMP6s-CAAX
0.07380354,GCaMP6s-CAAX
0.057697903,GCaMP6s-CAAX
0.054640856,GCaMP6s-CAAX
0.06407043,GCaMP6s-CAAX
0.073505275,GCaMP6s-CAAX
0.06872822,GCaMP6s-CAAX
0.06505254,GCaMP6s-CAAX
0.06423849,GCaMP6s-CAAX
0.068645775,GCaMP6s-CAAX
0.08819637,GCaMP6s-CAAX
0.0710448,GCaMP6s-CAAX
0.06158005,GCaMP6s-CAAX
0.07221578,GCaMP6s-CAAX
0.07597834,GCaMP6s-CAAX
0.061080568,GCaMP6s-CAAX
0.102121964,GCaMP6s-CAAX
0.0762123,GCaMP6s-CAAX
0.07204754,GCaMP6s-CAAX
0.097971246,GCaMP6s-CAAX
0.10590059,GCaMP6s-CAAX
0.07699977,GCaMP6s-CAAX
0.08444985,GCaMP6s-CAAX
0.07481438,GCaMP6s-CAAX
0.1135217,GCaMP6s-CAAX
0.09907545,GCaMP6s-CAAX
0.061742514,GCaMP6s-CAAX
0.067112856,GCaMP6s-CAAX
0.0672008,GCaMP6s-CAAX
0.072569795,GCaMP6s-CAAX
0.050780255,GCaMP6s-CAAX
