fluor,puncta_id,puncta_area,cell_area,cell_id
mTagBFP-CAAX-2A-dnVamp2,1,1.634904,246.634,10
mTagBFP-CAAX-2A-dnVamp2,2,1.120212,246.634,10
mTagBFP-CAAX-2A-dnVamp2,3,2.694564,246.634,10
mTagBFP-CAAX-2A-dnVamp2,4,0.121104,246.634,10
mTagBFP-CAAX-2A-dnVamp2,5,0.999108,246.634,10
mTagBFP-CAAX-2A-dnVamp2,1,5.14692,197.978,11
mTagBFP-CAAX-2A-dnVamp2,1,3.33036,308.826,12
mTagBFP-CAAX-2A-dnVamp2,2,8.235072,308.826,12
mTagBFP-CAAX-2A-dnVamp2,3,0.90828,308.826,12
mTagBFP-CAAX-2A-dnVamp2,4,0.60552,308.826,12
mTagBFP-CAAX-2A-dnVamp2,5,2.997324,308.826,12
mTagBFP-CAAX-2A-dnVamp2,6,9.53694,308.826,12
mTagBFP-CAAX-2A-dnVamp2,1,15.047172,519.059,13
mTagBFP-CAAX-2A-dnVamp2,2,11.50488,519.059,13
mTagBFP-CAAX-2A-dnVamp2,0,0,152.157,14
mTagBFP-CAAX-2A-dnVamp2,1,2.42208,173.314,15
mTagBFP-CAAX-2A-dnVamp2,2,1.392696,173.314,15
mTagBFP-CAAX-2A-dnVamp2,3,2.149596,173.314,15
mTagBFP-CAAX-2A-dnVamp2,1,2.543184,199.106,16
mTagBFP-CAAX-2A-dnVamp2,2,0.787176,199.106,16
mTagBFP-CAAX-2A-dnVamp2,3,3.239532,199.106,16
mTagBFP-CAAX-2A-dnVamp2,1,1.96794,142.279,17
mTagBFP-CAAX-2A-dnVamp2,2,1.36242,142.279,17
mTagBFP-CAAX-2A-dnVamp2,3,0.787176,142.279,17
mTagBFP-CAAX-2A-dnVamp2,1,0.726624,217.885,18
mTagBFP-CAAX-2A-dnVamp2,2,1.907388,217.885,18
mTagBFP-CAAX-2A-dnVamp2,3,5.419404,217.885,18
